date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:53:40	45451/45451	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202024%2017:53:40%20GMT	https://ideaigniter.com/us	C:/My%20Web%20Sites/ideaigniter/ideaigniter.com/us.html	(from )
22:53:42	45451/45451	---MC-	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202024%2017:53:42%20GMT	https://ideaigniter.com/robots.txt		(from )
22:53:42	5008/5008	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Aug%202024%2016:43:47%20GMT	https://ideaigniter.com/frontend/css/nav.css	C:/My%20Web%20Sites/ideaigniter/ideaigniter.com/frontend/css/nav.css	(from https://ideaigniter.com/us)
22:53:42	6565/6565	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Aug%202024%2017:05:58%20GMT	https://ideaigniter.com/frontend/css/footer.css	C:/My%20Web%20Sites/ideaigniter/ideaigniter.com/frontend/css/footer.css	(from https://ideaigniter.com/us)
22:53:43	4227/4227	---M--	200	added ('OK')	text/css	date:Sun,%2025%20Aug%202024%2013:22:31%20GMT	https://ideaigniter.com/frontend/css/chat.css	C:/My%20Web%20Sites/ideaigniter/ideaigniter.com/frontend/css/chat.css	(from https://ideaigniter.com/us)
22:53:43	52155/52155	---M--	200	added ('OK')	text/css	date:Tue,%2015%20Oct%202024%2002:16:24%20GMT	https://ideaigniter.com/frontend/css/style.css	C:/My%20Web%20Sites/ideaigniter/ideaigniter.com/frontend/css/style.css	(from https://ideaigniter.com/us)
22:53:44	89220/89220	---M-Z	200	added ('OK')	text/css	etag:%22620188b3-468e%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	C:/My%20Web%20Sites/ideaigniter/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0/css/all.min.css	(from https://ideaigniter.com/us)
22:53:45	52/52	---MC-	302	error ('Found')	text/plain	date:Tue,%2022%20Oct%202024%2017:53:46%20GMT	https://unpkg.com/aos@next/dist/aos.css	C:/My%20Web%20Sites/ideaigniter/unpkg.com/aos@next/dist/aos.6.delayed	(from https://ideaigniter.com/us)
22:53:46	28765/28765	---MCZ	200	added ('OK')	text/css	etag:W/%22705d-miajSdIaS4cfRd/RJKQ/raT5S5g%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.css	C:/My%20Web%20Sites/ideaigniter/unpkg.com/aos@3.0.0-beta.6/dist/aos.css	(from https://ideaigniter.com/us)
22:53:47	18459/18459	---MCZ	200	added ('OK')	text/css	etag:W/%22481b-FIrNb6/WFqmJrbwjO8RMNOzohs4%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	C:/My%20Web%20Sites/ideaigniter/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	(from https://ideaigniter.com/us)
22:53:48	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	C:/My%20Web%20Sites/ideaigniter/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://ideaigniter.com/us)
22:53:49	33961/33961	---M-Z	200	added ('OK')	text/css	etag:%225ee0cbd8-84a9%22	https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.5.0/css/flag-icon.min.css	C:/My%20Web%20Sites/ideaigniter/cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.5.0/css/flag-icon.min.css	(from https://ideaigniter.com/us)
